Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegral/0.0/3.14159,19160,0,9,9.314621112293356,8.000958012416959,182.43591592181474,500.2348643006263,106.91389798987538,0.0,9,9,9,9,10,10,13,19,37,180,180
,Aggregated,19160,0,9,9.314621112293356,8.000958012416959,182.43591592181474,500.2348643006263,106.91389798987538,0.0,9,9,9,9,10,10,13,19,37,180,180
