Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegral/0.0/3.14159,40259,0,200.0,192.065289093675,8.119374979287386,812.9611660260707,497.6506122854517,224.31647914540963,0.0,200,210,220,230,250,290,340,390,660,740,810
,Aggregated,40259,0,200.0,192.065289093675,8.119374979287386,812.9611660260707,497.6506122854517,224.31647914540963,0.0,200,210,220,230,250,290,340,390,660,740,810
