Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegral/0.0/3.14159,1556,0,110.9222078230232,115.26361299028673,110.9222078230232,537.428833078593,499.57005141388174,8.66212434042295,0.0,110,110,120,120,120,120,130,130,220,540,540
,Aggregated,1556,0,110.9222078230232,115.26361299028673,110.9222078230232,537.428833078593,499.57005141388174,8.66212434042295,0.0,110,110,120,120,120,120,130,130,220,540,540
