Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1736612642,1,,Aggregated,0.000000,0.000000,110,120,120,120,120,220,220,220,220,220,220,16,0,111.53258383274078,120.94570057524834,111.53258383274078,217.32029202394187,499.125
1736612643,1,,Aggregated,7.000000,0.000000,120,120,120,120,120,120,220,220,220,220,220,25,0,120.0,118.8869549613446,111.53258383274078,217.32029202394187,499.28
1736612644,1,,Aggregated,7.500000,0.000000,110,120,120,120,120,120,220,220,220,220,220,34,0,111.53258383274078,117.69172792350325,111.53258383274078,217.32029202394187,499.55882352941177
1736612645,1,,Aggregated,7.500000,0.000000,110,120,120,120,120,120,220,220,220,220,220,42,0,111.53258383274078,117.19457636077311,111.53258383274078,217.32029202394187,499.64285714285717
1736612646,1,,Aggregated,8.250000,0.000000,110,120,120,120,120,120,120,220,220,220,220,51,0,111.53258383274078,116.77105059189832,111.53258383274078,217.32029202394187,499.7450980392157
1736612647,1,,Aggregated,8.400000,0.000000,110,120,120,120,120,120,140,220,220,220,220,60,0,111.53258383274078,116.76334367366508,111.53258383274078,217.32029202394187,499.8
1736612648,1,,Aggregated,8.333333,0.000000,110,120,120,120,120,120,140,220,220,220,220,68,0,111.53258383274078,116.75007712534246,111.53258383274078,217.32029202394187,499.79411764705884
1736612649,1,,Aggregated,8.428571,0.000000,110,120,120,120,120,130,140,220,220,220,220,77,0,111.53258383274078,116.85449181293899,111.53258383274078,217.32029202394187,499.7402597402597
1736612650,1,,Aggregated,8.428571,0.000000,110,120,120,120,120,130,140,220,220,220,220,85,0,111.53258383274078,116.64322396904669,111.53258383274078,217.32029202394187,499.6941176470588
1736612651,1,,Aggregated,8.444444,0.000000,110,120,120,120,120,130,140,220,220,220,220,94,0,111.53258383274078,116.53708550147712,111.53258383274078,217.32029202394187,499.70212765957444
1736612652,1,,Aggregated,8.500000,0.000000,110,120,120,120,120,120,130,140,220,220,220,103,0,111.53258383274078,116.41002627026326,111.53258383274078,217.32029202394187,499.7281553398058
1736612653,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,130,140,140,220,220,220,111,0,111.53258383274078,116.52305215043393,111.53258383274078,217.32029202394187,499.7027027027027
1736612654,1,,Aggregated,8.700000,0.000000,110,120,120,120,120,130,140,140,220,220,220,120,0,111.53258383274078,116.42986593069509,111.53258383274078,217.32029202394187,499.65833333333336
1736612655,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,129,0,111.53258383274078,116.35070733993147,111.53258383274078,217.32029202394187,499.6511627906977
1736612656,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,137,0,111.53258383274078,116.30464048485142,111.53258383274078,217.32029202394187,499.64233576642334
1736612657,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,146,0,111.53258383274078,116.4542239985416,111.53258383274078,217.32029202394187,499.64383561643837
1736612658,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,154,0,111.53258383274078,116.36749023039427,111.53258383274078,217.32029202394187,499.6233766233766
1736612659,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,163,0,111.53258383274078,116.44828268983888,111.53258383274078,217.32029202394187,499.6319018404908
1736612660,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,172,0,111.53258383274078,116.32707386905717,111.53258383274078,217.32029202394187,499.6162790697674
1736612661,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,180,0,111.53258383274078,116.26117589961116,111.53258383274078,217.32029202394187,499.6166666666667
1736612662,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,189,0,111.53258383274078,116.28689547931707,111.53258383274078,217.32029202394187,499.6137566137566
1736612663,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,198,0,111.53258383274078,116.23472408415053,111.53258383274078,217.32029202394187,499.6010101010101
1736612664,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,206,0,111.53258383274078,116.1974702410183,111.53258383274078,217.32029202394187,499.6116504854369
1736612665,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,215,0,111.53258383274078,116.252367040359,111.53258383274078,217.32029202394187,499.6372093023256
1736612666,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,224,0,111.53258383274078,116.19634765208632,111.53258383274078,217.32029202394187,499.66517857142856
1736612667,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,232,0,111.53258383274078,116.15203985852061,111.53258383274078,217.32029202394187,499.6810344827586
1736612668,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,241,0,111.53258383274078,116.12905773017323,111.53258383274078,217.32029202394187,499.7344398340249
1736612669,1,,Aggregated,8.600000,0.000000,110,120,120,120,120,120,140,140,220,220,220,250,0,111.53258383274078,116.09273314569145,111.53258383274078,217.32029202394187,499.768
1736612670,1,,Aggregated,8.700000,0.000000,110,120,120,120,120,120,130,140,220,220,220,259,0,111.53258383274078,116.04967179733353,111.53258383274078,217.32029202394187,499.7683397683398
1736612671,1,,Aggregated,8.600000,0.000000,120,120,120,120,120,120,130,140,220,220,220,267,0,120.0,116.04561108035429,111.53258383274078,217.32029202394187,499.7565543071161
1736612672,1,,Aggregated,8.600000,0.000000,120,120,120,120,120,120,130,140,220,220,220,276,0,120.0,116.03534236496341,111.53258383274078,217.32029202394187,499.7355072463768
1736612673,1,,Aggregated,8.700000,0.000000,120,120,120,120,120,120,130,140,220,220,220,285,0,120.0,115.99179865759716,111.53258383274078,217.32029202394187,499.740350877193
1736612674,1,,Aggregated,8.600000,0.000000,120,120,120,120,120,120,130,140,220,220,220,293,0,120.0,115.97978409837435,111.53258383274078,217.32029202394187,499.72354948805463
1736612675,1,,Aggregated,8.700000,0.000000,120,120,120,120,120,120,130,140,220,220,220,302,0,120.0,116.00426473386511,111.53258383274078,217.32029202394187,499.6920529801325
1736612676,1,,Aggregated,8.700000,0.000000,120,120,120,120,120,120,130,140,220,220,220,310,0,111.53258383274078,116.00452576944184,111.53258383274078,217.32029202394187,499.68387096774194
