Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegral/0.0/3.14159,2742,244,240.0,620.1103666006234,71.90070883370936,8165.287166135386,453.69693654266956,15.92563408228079,1.4171607279637173,240,260,280,280,290,860,8100,8100,8200,8200,8200
,Aggregated,2742,244,240.0,620.1103666006234,71.90070883370936,8165.287166135386,453.69693654266956,15.92563408228079,1.4171607279637173,240,260,280,280,290,860,8100,8100,8200,8200,8200
