Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegral/0.0/3.14159,8188,7,230.0,216.40043371083132,88.93183316104114,860.4846249800175,497.30276013678554,45.57875527366855,0.03896571652609671,230,240,250,260,270,280,290,350,620,860,860
,Aggregated,8188,7,230.0,216.40043371083132,88.93183316104114,860.4846249800175,497.30276013678554,45.57875527366855,0.03896571652609671,230,240,250,260,270,280,290,350,620,860,860
